position_pair,engram7_load,engram7_strength,engram7_position,engram7_stretch,engram7_vspan,engram7_hspan,engram7_sequence
O/,1,0,0.5,1,0,0,0
O;,1,0,0.75,1,0.5,0,0
OA,1,0,0.75,1,1,1,1
OB,1,0.5,0.25,0.5,1,1,1
OC,1,0.5,0,1,1,1,1
OD,1,0.5,0.75,1,1,1,1
OE,1,0.5,0.5,1,1,1,1
OF,1,0.5,0.75,1,1,1,1
OG,1,0.5,0.25,0.5,1,1,1
OH,1,0.5,0.25,0.5,0.5,1,0
OI,1,0.5,0.5,1,1,1,1
OJ,1,0.5,0.75,1,0.5,1,0
OK,1,0.5,0.75,1,0.5,0,0
OL,0,0,0.75,1,0.5,0,0
OM,1,0.5,0.5,1,0,1,0
ON,1,0.5,0.25,0.5,0,1,0
OO,0,0,0.5,1,1,0,0
OP,1,0,0,1,1,1,0
OQ,1,0,0,1,1,1,1
OR,1,0.5,0,1,1,1,1
OS,1,0,0.75,1,1,1,1
OT,1,0.5,0.25,0.5,1,1,1
OU,1,0.5,0,1,1,0,1
OV,1,0.5,0.5,1,1,1,1
OW,1,0,0.5,1,1,1,1
OX,1,0,0.5,1,1,1,1
OY,1,0.5,0.25,0.5,1,0,1
OZ,1,0,0.5,1,1,1,1
O[,1,0,0.25,0.5,1,0,0
P',0,0,0,0.5,0.5,0,0
"P,",1,0.5,0,1,0,1,0
P.,1,0,0.25,1,0,0,0
P/,0,0,0.25,1,0,0,0
P;,0,0,0.5,1,0.5,0,0
PA,1,0,0.5,1,1,1,1
PB,1,0.5,0,0.5,1,1,1
PC,1,0.5,0,1,1,1,1
PD,1,0.5,0.5,1,1,1,1
PE,1,0.5,0.25,1,1,1,1
PF,1,0.5,0.5,1,1,1,1
PG,1,0.5,0,0.5,1,1,1
PH,1,0.5,0,0.5,0.5,1,0
PI,1,0.5,0.25,1,1,0,1
PJ,1,0.5,0.5,1,0.5,1,0
PK,1,0.5,0.5,1,0.5,1,0
PL,1,0,0.5,1,0.5,0,0
PM,1,0.5,0.25,1,0,1,0
PN,1,0.5,0,0.5,0,1,0
PO,1,0,0.25,1,1,1,1
PP,0,0,0,1,1,0,0
PQ,1,0,0,1,1,1,1
PR,1,0.5,0,1,1,1,1
PS,1,0,0.5,1,1,1,1
